,Order No,Order Date,Customer Name,Address,City,Customer Type,Order Priority,Product Name,Product Category,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,DiscountPercent,DiscountMoney,Order Total,Shipping Cost,Total
254,5411-1,2/13/2014,Steve Nguyen,"61 York St,Sydney",Sydney,Consumer,High,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,2.16,3.85,1.69,31,119.35,9,10.74,108.61,0.7,109.31
255,5413-1,2/15/2014,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,Home Office,Medium,Blackstonian Pencils,Office Supplies,1.15,2.67,1.52,19,50.73,3,1.52,49.21,0.86,50.07
256,5415-1,2/15/2014,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,Corporate,Low,Creator Colored Pencils,Office Supplies,1.57,3.28,1.71,44,144.32,0,0.0,144.32,0.98,145.3
257,5416-1,2/16/2014,Pamela Coakley,"120 Hardware St,Melbourne",Melbourne,Corporate,High,1726 Digital Answering Machine,Technology,8.82,20.99,12.17,24,503.76,1,5.04,498.72,4.81,503.53
258,5418-1,2/22/2014,Amy Cox,"101/12 Victoria Ave, Perth",Sydney,Corporate,Critical,Apex Box Cutter Scissors,Office Supplies,4.19,10.23,6.04,9,92.07,7,6.44,85.63,4.68,90.31
259,5420-1,2/22/2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,Consumer,High,Binder Clips by OIC,Office Supplies,0.93,1.48,0.55,46,68.08,0,0.0,68.08,0.7,68.78
260,5421-1,2/22/2014,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,Corporate,High,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,21.56,35.94,14.38,13,467.22,3,14.02,453.2,6.66,459.86
261,5423-1,2/23/2014,Erica Hackney,"221 Barkly St,St Kilda",Melbourne,Small Business,Medium,TechSavi Cordless Navigator Duo,Technology,42.11,80.98,38.87,45,3644.1,0,0.0,3644.1,7.18,3651.28
262,5424-1,2/24/2014,Chad McGuire,"73 MacLeay St,Potts Point",Sydney,Small Business,Critical,Artisan Non-Stick Binders,Office Supplies,2.74,4.49,1.75,6,26.94,3,0.81,26.13,1.49,27.62
263,5426-1,2/24/2014,Pauline Chand,"501 George St,Sydney",Sydney,Small Business,Not Specified,EcoTones Memo Sheets,Office Supplies,2.52,4.0,1.48,33,132.0,8,10.56,121.44,1.3,122.74
264,5428-1,2/25/2014,Bobby Elias,"37/59 Brewer Street, Perth",Melbourne,Small Business,Not Specified,Creator Colored Pencils,Office Supplies,1.57,3.28,1.71,26,85.28,8,6.82,78.46,0.98,79.44
265,5430-1,2/25/2014,Gary Hwang,"60 York St,Sydney",Sydney,Home Office,Critical,Steady Liquid Accent Highlighters,Office Supplies,3.47,6.68,3.21,33,220.44,3,6.61,213.83,1.5,215.33
266,5432-1,2/28/2014,Lena Radford,"4A Lyons St,Strathfield",Sydney,Small Business,Medium,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,0.9,2.1,1.2,21,44.1,4,1.76,42.34,0.7,43.04
267,5433-1,3/2/2014,Edward Nazzal,"2a/285A Crown St,Surry Hills",Sydney,Home Office,Medium,Binding Machine Supplies,Office Supplies,18.38,29.17,10.79,1,29.17,2,0.58,28.59,6.27,34.86
268,5434-1,3/6/2014,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,Small Business,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,4.46,10.89,6.43,32,348.48,10,34.85,313.63,4.5,318.13
269,5435-1,3/10/2014,Adam Hart,"2a/285A Crown St,Surry Hills",Sydney,Corporate,Not Specified,Artisan 481 Labels,Office Supplies,1.94,3.08,1.14,1,3.08,8,0.25,2.83,0.99,3.82
270,5436-1,3/11/2014,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,Corporate,Medium,Airmail Envelopes,Office Supplies,52.04,83.93,31.89,50,4196.5,10,419.65,3776.85,19.99,3796.84
271,5438-1,3/12/2014,Matt Collister,1/20 Pendal Lane,Perth,Home Office,High,TechSavi Cordless Elite Duo,Technology,60.59,100.98,40.39,5,504.9,2,10.1,494.8,7.18,501.98
272,5439-1,3/13/2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,Corporate,Low,Steady Major Accent Highlighters,Office Supplies,3.75,7.08,3.33,34,240.72,3,7.22,233.5,2.35,235.85
273,5440-1,3/15/2014,Toby Swindell,"273 George Street,Sydney",Sydney,Small Business,Critical,Binder Posts,Office Supplies,3.5,5.74,2.24,45,258.3,0,0.0,258.3,5.01,263.31
274,5442-1,3/17/2014,Troy Blackwell,"3/219 Canley Vale Road,Canley Heights",Sydney,Home Office,Critical,12 Colored Short Pencils,Office Supplies,1.09,2.6,1.51,43,111.8,1,1.12,110.68,2.4,113.08
275,5444-1,3/17/2014,Carl Ludwig,"1/173-179 Bronte Rd,Waverley",Sydney,Corporate,Not Specified,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,8.92,29.74,20.82,25,743.5,0,0.0,743.5,6.64,750.14
276,5445-1,3/17/2014,Chad Cunningham,"499-501 Lygon Street,Carlton North",Melbourne,Small Business,Not Specified,Smiths Colored Bar Computer Paper,Office Supplies,21.97,35.44,13.47,21,744.24,0,0.0,744.24,4.92,749.16
277,5446-1,3/19/2014,Michael Paige,"506 Swan Street,Richmond",Melbourne,Small Business,Critical,Artisan Poly Binder Pockets,Office Supplies,2.26,3.58,1.32,39,139.62,0,0.0,139.62,5.47,145.09
278,5448-1,3/21/2014,Justin Ellison,"163 Concord Road,North Strathfield",Sydney,Home Office,Low,Artisan 481 Labels,Office Supplies,1.94,3.08,1.14,5,15.4,6,0.92,14.48,0.99,15.47
279,5449-1,3/28/2014,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,Small Business,High,Brown Kraft Recycled Envelopes,Office Supplies,11.04,16.98,5.94,31,526.38,3,15.79,510.59,12.39,522.98
280,5450-1,3/29/2014,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,Consumer,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,4.53,7.3,2.77,18,131.4,5,6.57,124.83,7.72,132.55
281,5451-1,3/31/2014,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,Home Office,Not Specified,DrawIt Colored Pencils,Office Supplies,4.37,9.11,4.74,1,9.11,10,0.91,8.2,2.25,10.45
282,5453-1,4/1/2014,Anne Pryor,"101 Murray Street, Perth",Sydney,Consumer,Critical,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,16.8,40.97,24.17,44,1802.68,8,144.21,1658.47,8.99,1667.46
283,5455-1,4/2/2014,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,Corporate,Medium,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,7.13,20.98,13.85,39,818.22,4,32.73,785.49,5.42,790.91
284,5456-1,4/2/2014,Patrick Bzostek,"1/50-58 Hunter St,Sydney",Sydney,Consumer,Critical,Barrel Sharpener,Office Supplies,1.46,3.57,2.11,41,146.37,3,4.39,141.98,4.17,146.15
285,5457-1,4/3/2014,Alex Grayson,"73 Lindsay Street, Perth",Sydney,Consumer,Medium,OIC Bulk Pack Metal Binder Clips,Office Supplies,2.13,3.49,1.36,46,160.54,1,1.61,158.93,0.76,159.69
286,5458-1,4/4/2014,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,Small Business,Not Specified,Artisan 48 Labels,Office Supplies,3.84,6.3,2.46,18,113.4,10,11.34,102.06,0.5,102.56
287,5460-1,4/6/2014,Steve Chapman,"1/50-58 Hunter St,Sydney",Sydney,Corporate,Low,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,1.05,1.95,0.9,31,60.45,2,1.21,59.24,1.63,60.87
288,5461-1,4/7/2014,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,Corporate,Critical,Bagged Rubber Bands,Office Supplies,0.24,1.26,1.02,35,44.1,9,3.97,40.13,0.7,40.83
289,5463-1,4/7/2014,Carlos Daly,"5/63-71 Enmore Rd,Newtown",Sydney,Home Office,Not Specified,Emerson Stylus 1520 Color Inkjet Printer,Technology,315.61,500.97,185.36,31,15530.07,6,931.8,14598.27,69.3,14667.57
290,5465-1,4/7/2014,Harold Dahlen,"53-55 Liverpool St,Sydney",Sydney,Corporate,Medium,HFX LaserJet 3310 Copier,Technology,377.99,599.99,222.0,30,17999.7,9,1619.97,16379.73,24.49,16404.22
291,5467-1,4/11/2014,Brenda Bowman,"73 York St,Sydney",Sydney,Small Business,Medium,12 Colored Short Pencils,Office Supplies,1.09,2.6,1.51,2,5.2,3,0.16,5.04,2.4,7.44
292,5469-1,4/15/2014,Xylona Price,"98-104 Parramatta Rd,Camperdown",Sydney,Corporate,High,TechSavi Internet Navigator Keyboard,Technology,6.51,30.98,24.47,36,1115.28,0,0.0,1115.28,6.5,1121.78
293,5470-1,4/17/2014,Kelly Collister,"499-501 Lygon Street,Carlton North",Melbourne,Consumer,High,"Alto Parchment Paper, Assorted Colors",Office Supplies,4.59,7.28,2.69,11,80.08,7,5.61,74.47,11.15,85.62
294,5471-1,4/17/2014,Dean Percer,"222 Barkly St,St Kilda",Melbourne,Home Office,Medium,Apex Box Cutter Scissors,Office Supplies,4.19,10.23,6.04,22,225.06,7,15.75,209.31,4.68,213.99
295,5473-1,4/17/2014,Anemone Ratner,"32 Wellington Street, Perth",Sydney,Small Business,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,3.42,8.34,4.92,16,133.44,4,5.34,128.1,2.64,130.74
296,5475-1,5/2/2014,Brian Stugart,"88 Oxford St,Woollahra",Sydney,Consumer,Low,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,84.22,210.55,126.33,32,6737.6,10,673.76,6063.84,9.99,6073.83
297,5476-1,5/2/2014,Michelle Tran,"85-113 Dunning Ave,Roseberry",Sydney,Corporate,Not Specified,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,7.13,20.98,13.85,14,293.72,10,29.37,264.35,5.42,269.77
298,5477-1,5/2/2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,Home Office,Critical,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,2.29,3.58,1.29,15,53.7,5,2.69,51.02,1.63,52.65
299,5478-1,5/3/2014,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,Home Office,Low,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,1.31,2.84,1.53,48,136.32,10,13.63,122.69,0.93,123.62
300,5479-1,5/6/2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,Home Office,Not Specified,Artisan Poly Binder Pockets,Office Supplies,2.26,3.58,1.32,25,89.5,0,0.0,89.5,5.47,94.97
301,5479-2,5/6/2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,Home Office,Not Specified,Assorted Color Push Pins,Office Supplies,0.87,1.81,0.94,45,81.45,8,6.52,74.93,0.75,75.68
302,5483-1,5/8/2014,Ritsa Hightower,22 St Georges Terrace,Perth,Corporate,Low,Binder Clips by OIC,Office Supplies,0.93,1.48,0.55,33,48.84,7,3.42,45.42,0.7,46.12
303,5485-1,5/8/2014,Michelle Moray,"310 Wattle St,Ultimo",Sydney,Corporate,Low,Economy Binders,Office Supplies,1.33,2.08,0.75,40,83.2,0,0.0,83.2,1.49,84.69
304,5487-1,5/9/2014,Jim Radford,"222 Barkly St,St Kilda",Melbourne,Corporate,Critical,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,56.16,136.98,80.82,44,6027.12,8,482.17,5544.95,24.49,5569.44
305,5489-1,5/11/2014,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,Corporate,Medium,Lumi Crayons,Office Supplies,5.22,9.85,4.63,20,197.0,6,11.82,185.18,4.82,190.0
306,5491-1,5/13/2014,Jennifer Patt,"523 King St,Newtown",Sydney,Home Office,Not Specified,Alto 3-Hole Punch,Office Supplies,2.76,4.38,1.62,29,127.02,8,10.16,116.86,6.21,123.07
307,5493-1,5/15/2014,Eric Barreto,14 Money Street,Perth,Consumer,Medium,Artisan 481 Labels,Office Supplies,1.94,3.08,1.14,9,27.72,1,0.28,27.44,0.99,28.43
308,5494-1,5/17/2014,Deborah Brumfield,"501 George St,Sydney",Sydney,Small Business,Not Specified,Apex Straight Scissors,Office Supplies,5.19,12.98,7.79,20,259.6,4,10.38,249.22,3.14,252.36
309,5496-1,5/19/2014,Richard Eichhorn,"506 Swan Street,Richmond",Melbourne,Consumer,Medium,Aluminum Document Frame,Furniture,5.5,12.22,6.72,18,219.96,4,8.8,211.16,2.85,214.01
310,5497-1,5/19/2014,Juliana Krohn,"2/797 Botany Rd,Rosebery",Sydney,Corporate,Low,Smiths Bulldog Clip,Office Supplies,2.31,3.78,1.47,15,56.7,3,1.7,55.0,0.71,55.71
311,5498-1,5/25/2014,Clytie Kelty,"8 Khartoum Rd,Macquarie Park",Sydney,Small Business,Low,Cando PC940 Copier,Technology,278.99,449.99,171.0,47,21149.53,10,2114.95,19034.58,49.0,19083.58
312,5500-1,5/29/2014,Ken Dana,"73 York St,Sydney",Sydney,Corporate,Low,Adesso Programmable 142-Key Keyboard,Technology,32.02,152.48,120.46,49,7471.52,3,224.15,7247.37,4.0,7251.37
313,5502-1,5/29/2014,Andy Yotov,"31 Wellington Street, Perth",Sydney,Corporate,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,13.88,22.38,8.5,26,581.88,7,40.73,541.15,15.1,556.25
314,5504-1,5/29/2014,Melanie Page,"541 Church St,Richmond",Melbourne,Corporate,Medium,Smiths SlimLine Pencil Sharpener,Office Supplies,4.79,11.97,7.18,46,550.62,7,38.54,512.08,5.81,517.89
315,5505-1,6/2/2014,Arthur Gainer,"14/76 Newcastle Street, Perth",Melbourne,Corporate,Critical,1726 Digital Answering Machine,Technology,8.82,20.99,12.17,10,209.9,0,0.0,209.9,4.81,214.71
316,5506-1,6/3/2014,Jeremy Lonsdale,"163 Concord Road,North Strathfield",Sydney,Corporate,Not Specified,"Creator Anti Dust Chalk, 12/Pack",Office Supplies,1.09,1.82,0.73,40,72.8,10,7.28,65.52,1.0,66.52
317,5507-1,6/3/2014,Christopher Martinez,33 Wellington Street,Perth,Small Business,High,Steady Major Accent Highlighters,Office Supplies,3.75,7.08,3.33,45,318.6,6,19.12,299.48,2.35,301.83
318,5508-1,6/4/2014,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,Consumer,High,Deluxe Rollaway Locking File with Drawer,Office Supplies,178.83,415.88,237.05,43,17882.84,7,1251.8,16631.04,11.37,16642.41
319,5510-1,6/4/2014,Dianna Wilson,"310 Wattle St,Ultimo",Sydney,Small Business,Not Specified,UGen Ultra Professional Cordless Optical Suite,Technology,156.5,300.97,144.47,6,1805.82,4,72.23,1733.59,7.18,1740.77
320,5512-1,6/5/2014,Lindsay Castell,"Qantas Domestic Terminal,Mascot",Sydney,Corporate,Medium,Xit Blank Computer Paper,Office Supplies,12.39,19.98,7.59,10,199.8,10,19.98,179.82,5.77,185.59
321,5513-1,6/7/2014,Chuck Sachs,"1/41B Elizabeth Bay Rd,Elizabeth Bay",Sydney,Consumer,Medium,Cando PC940 Copier,Technology,278.99,449.99,171.0,5,2249.95,1,22.5,2227.45,49.0,2276.45
322,5514-1,6/8/2014,John Lee,"180 High Street,Windsor",Melbourne,Corporate,Not Specified,Artisan Poly Binder Pockets,Office Supplies,2.26,3.58,1.32,44,157.52,6,9.45,148.07,5.47,153.54
323,5516-1,6/9/2014,Anthony Rawles,"14 Money Street, Perth",Perth,Small Business,High,3Max Polarizing Light Filter Sleeves,Furniture,11.38,18.65,7.27,18,335.7,10,33.57,302.13,3.77,305.9
324,5518-1,6/13/2014,Fred Chung,"81 MacLeay St,Potts Point",Sydney,Corporate,Low,Smiths Colored Interoffice Envelopes,Office Supplies,19.83,30.98,11.15,46,1425.08,4,57.0,1368.08,19.51,1387.59
325,5520-1,6/16/2014,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,Home Office,Low,Smiths Standard Envelopes,Office Supplies,3.52,5.68,2.16,32,181.76,10,18.18,163.58,1.39,164.97
326,5521-1,6/17/2014,Edward Becker,"501 George St,Sydney",Sydney,Home Office,Medium,Smiths General Use 3-Ring Binders,Office Supplies,1.18,1.88,0.7,19,35.72,7,2.5,33.22,1.49,34.71
327,5523-1,6/18/2014,Bill Donatelli,"8 Orange Street, Perth",Perth,Corporate,High,"Message Book, One Form per Page",Office Supplies,2.41,3.71,1.3,39,144.69,6,8.68,136.01,1.93,137.94
328,5525-1,6/18/2014,Toby Swindell,"273 George Street,Sydney",Sydney,Small Business,Critical,"Adams ""While You Were Out"" Message Pads",Office Supplies,1.88,3.14,1.26,32,100.48,3,3.01,97.47,1.14,98.61
329,5526-1,6/19/2014,Barry Pond,"1/20 Pendal Lane, Perth",Melbourne,Consumer,Medium,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,21.56,36.55,14.99,48,1754.4,7,122.81,1631.59,13.89,1645.48
330,5527-1,6/19/2014,Jim Mitchum,"85-113 Dunning Ave,Rosebery",Sydney,Consumer,Not Specified,Laser DVD-RAM discs,Technology,20.18,35.41,15.23,21,743.61,1,7.44,736.17,1.99,738.16
331,5529-1,6/19/2014,Bruce Degenhardt,"501 George St,Sydney",Sydney,Home Office,High,Multimedia Mailers,Office Supplies,99.39,162.93,63.54,16,2606.88,10,260.69,2346.19,19.99,2366.18
332,5531-1,6/22/2014,Luke Weiss,"88 Oxford St,Woollahra",Sydney,Corporate,Not Specified,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,56.16,136.98,80.82,17,2328.66,0,0.0,2328.66,24.49,2353.15
333,5533-1,6/22/2014,Craig Leslie,"10 Bligh St,Melbourne",Melbourne,Consumer,Medium,Artisan 478 Labels,Office Supplies,3.14,4.91,1.77,24,117.84,1,1.18,116.66,0.5,117.16
334,5534-1,6/23/2014,Frank Hawley,"Shop 1 797 Botany Rd,Rosebery",Sydney,Home Office,Medium,Artisan 474 Labels,Office Supplies,1.84,2.88,1.04,8,23.04,7,1.61,21.43,0.99,22.42
335,5536-1,6/25/2014,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,Small Business,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,16.8,40.97,24.17,47,1925.59,6,115.54,1810.05,8.99,1819.04
336,5537-1,6/27/2014,Alejandro Ballentine,"412 Brunswick St,Fitzroy",Melbourne,Small Business,High,Barrel Sharpener,Office Supplies,1.46,3.57,2.11,46,164.22,1,1.64,162.58,4.17,166.75
337,5539-1,6/29/2014,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,Home Office,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,4.53,7.3,2.77,50,365.0,2,7.3,357.7,7.72,365.42
338,5539-2,6/29/2014,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,Home Office,Not Specified,Smiths Paper Clips,Office Supplies,1.53,2.47,0.94,43,106.21,2,2.12,104.09,1.02,105.11
339,5541-1,6/29/2014,Christine Abelman,"Sydney Fish Market, Bank Street, Sydney",Sydney,Corporate,Medium,Artisan 479 Labels,Office Supplies,1.59,2.61,1.02,44,114.84,9,10.34,104.5,0.5,105.0
340,5544-1,6/29/2014,William Brown,"3 Carrington Road ,Box Hill",Melbourne,Corporate,Not Specified,TechSavi Cordless Access Keyboard,Technology,14.7,29.99,15.29,20,599.8,0,0.0,599.8,5.5,605.3
341,5546-1,6/30/2014,Monica Federle,"834 Bourke St,Waterloo",Sydney,Corporate,Medium,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,8.92,29.74,20.82,4,118.96,5,5.95,113.01,6.64,119.65
342,5547-1,7/4/2014,Mike Gockenbach,"180 High Street,Windsor",Melbourne,Consumer,High,Alto Memo Cubes,Office Supplies,3.32,5.18,1.86,43,222.74,3,6.68,216.06,2.04,218.1
343,5548-1,7/5/2014,James Galang,"Westfield 1 Anderson St,Chatswood",Sydney,Consumer,Critical,Artisan File Folder Labels,Office Supplies,1.84,2.88,1.04,47,135.36,3,4.06,131.3,5.33,136.63
344,5549-1,7/11/2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,Consumer,High,TechSavi Access Keyboard,Technology,8.31,15.98,7.67,40,639.2,3,19.18,620.02,6.5,626.52
345,5551-1,7/12/2014,Raymond Book,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,Consumer,Medium,Artisan Round Ring Poly Binders,Office Supplies,1.82,2.84,1.02,19,53.96,0,0.0,53.96,5.44,59.4
346,5552-1,7/15/2014,Bobby Odegard,"37/59 Brewer Street, Perth",Melbourne,Corporate,Not Specified,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,1.87,8.12,6.25,4,32.48,7,2.27,30.21,2.83,33.04
347,5554-1,7/17/2014,Eric Barreto,14 Money Street,Perth,Small Business,High,Alto 3-Hole Punch,Office Supplies,2.76,4.38,1.62,18,78.84,3,2.37,76.47,6.21,82.68
348,5556-1,7/18/2014,Art Miller,"14 Money Street, Perth",Sydney,Corporate,Medium,Artisan 474 Labels,Office Supplies,1.84,2.88,1.04,10,28.8,1,0.29,28.51,0.99,29.5
349,5558-1,7/18/2014,Julia Dunbar,3/265 Stirling Street,Perth,Consumer,Low,Colored Push Pins,Office Supplies,0.92,1.81,0.89,8,14.48,5,0.72,13.76,1.56,15.32
350,5558-2,7/18/2014,Julia Dunbar,3/265 Stirling Street,Perth,Consumer,Low,"Steady Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,1.9,3.28,1.38,41,134.48,5,6.72,127.76,1.95,129.71
351,5560-1,7/22/2014,Gene Hale,"1/173-179 Bronte Rd,Waverley",Sydney,Consumer,Low,Economy Binders,Office Supplies,1.33,2.08,0.75,20,41.6,4,1.66,39.94,1.49,41.43
352,5562-1,7/24/2014,Sonia Sunley,"1/50-58 Hunter St,Sydney",Sydney,Small Business,Critical,Smiths Metal Binder Clips,Office Supplies,1.6,2.62,1.02,25,65.5,9,5.9,59.61,0.8,60.41
353,5564-1,7/25/2014,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,Home Office,Low,Self-Adhesive Removable Labels,Office Supplies,1.98,3.15,1.17,46,144.9,10,14.49,130.41,0.49,130.9
354,5566-1,7/26/2014,Victoria Wilson,"1/160 Anzac Parade,Kensington",Sydney,Home Office,Low,HFX LaserJet 3310 Copier,Technology,377.99,599.99,222.0,25,14999.75,7,1049.98,13949.77,24.49,13974.26
355,5566-2,7/26/2014,Victoria Wilson,"1/160 Anzac Parade,Kensington",Sydney,Home Office,Low,Smiths Metal Binder Clips,Office Supplies,1.6,2.62,1.02,10,26.2,8,2.1,24.1,0.8,24.9
356,5569-1,7/28/2014,Maria Zettner,"531 King St,Newtown",Sydney,Corporate,Medium,1726 Digital Answering Machine,Technology,8.82,20.99,12.17,9,188.91,8,15.11,173.8,4.81,178.61
357,5570-1,7/30/2014,Keith Herrera,"120 Hardware St,Melbourne",Melbourne,Small Business,High,Artisan File Folder Labels,Office Supplies,1.84,2.88,1.04,11,31.68,2,0.63,31.05,5.33,36.38
358,5572-1,7/30/2014,Mark Packer,"Sydney Fish Market, Bank Street, Sydney",Sydney,Small Business,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,13.88,22.38,8.5,34,760.92,1,7.61,753.31,15.1,768.41
359,5574-1,7/30/2014,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,Corporate,Medium,Security-Tint Envelopes,Office Supplies,4.89,7.64,2.75,7,53.48,6,3.21,50.27,1.39,51.66
360,5576-1,8/3/2014,Shirley Jackson,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,Corporate,Medium,Binder Posts,Office Supplies,3.5,5.74,2.24,7,40.18,4,1.61,38.57,5.01,43.58
361,5578-1,8/5/2014,Ed Ludwig,"221 Barkly St,St Kilda",Melbourne,Consumer,High,12 Colored Short Pencils,Office Supplies,1.09,2.6,1.51,43,111.8,6,6.71,105.09,2.4,107.49
362,5579-1,8/6/2014,Carol Adams,"181 Enmore Rd,Enmore",Sydney,Corporate,Low,Artisan Hanging File Binders,Office Supplies,3.65,5.98,2.33,32,191.36,10,19.14,172.22,1.49,173.71
363,5581-1,8/7/2014,John Lucas,"188 Pitt Street,Sydney",Sydney,Small Business,Critical,Alto Memo Cubes,Office Supplies,3.32,5.18,1.86,17,88.06,2,1.76,86.3,2.04,88.34
364,5583-1,8/11/2014,Benjamin Patterson,"6 Brookman Street, Perth",Sydney,Corporate,Critical,Bagged Rubber Bands,Office Supplies,0.24,1.26,1.02,2,2.52,6,0.15,2.37,0.7,3.07
365,5584-1,8/11/2014,Sara Luxemburg,"180 High Street,Windsor",Melbourne,Small Business,Critical,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,21.56,36.55,14.99,24,877.2,7,61.4,815.8,13.89,829.69
366,5586-1,8/11/2014,Adrian Hane,"180 High Street,Windsor",Melbourne,Corporate,Medium,Steady Major Accent Highlighters,Office Supplies,3.75,7.08,3.33,47,332.76,10,33.28,299.48,2.35,301.83
367,5588-1,8/11/2014,Tonja Turnell,"221 Barkly St,St Kilda",Melbourne,Consumer,High,Wirebound Voice Message Log Book,Office Supplies,2.9,4.76,1.86,11,52.36,8,4.19,48.17,0.88,49.05
368,5589-1,8/12/2014,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,Home Office,Low,Beekin 105-Key Black Keyboard,Technology,6.39,19.98,13.59,5,99.9,9,8.99,90.91,4.0,94.91
369,5591-1,8/22/2014,Dorris Love,"359 Crown Street,Surry Hills",Sydney,Home Office,Not Specified,Smiths File Caddy,Office Supplies,4.03,9.38,5.35,17,159.46,9,14.35,145.11,7.28,152.39
370,5593-1,8/25/2014,John Lee,"180 High Street,Windsor",Melbourne,Corporate,High,Aluminum Document Frame,Furniture,5.5,12.22,6.72,37,452.14,9,40.69,411.45,2.85,414.3
371,5594-1,8/25/2014,Jill Fjeld,"53 Riley Street,Woolloomooloo",Sydney,Home Office,High,PastelOcean Color Pencil Set,Office Supplies,11.11,19.84,8.73,28,555.52,6,33.33,522.19,4.1,526.29
372,5596-1,8/26/2014,Valerie Dominguez,37/59 Brewer Street,Perth,Corporate,Medium,TechSavi Access Keyboard,Technology,10.07,15.98,5.91,46,735.08,2,14.7,720.38,4.0,724.38
373,5597-1,8/27/2014,Maribeth Yedwab,"240-242 Johnston Street,Fitzroy",Melbourne,Home Office,Not Specified,Smiths Metal Binder Clips,Office Supplies,1.6,2.62,1.02,45,117.9,1,1.18,116.72,0.8,117.52
374,5599-1,8/28/2014,Ruben Ausman,"Crown Complex,Southbank",Melbourne,Corporate,High,Cando PC940 Copier,Technology,278.99,449.99,171.0,15,6749.85,4,269.99,6479.86,49.0,6528.86
375,5599-2,8/28/2014,Ruben Ausman,"Crown Complex,Southbank",Melbourne,Corporate,High,EcoTones Memo Sheets,Office Supplies,2.52,4.0,1.48,14,56.0,6,3.36,52.64,1.3,53.94
376,5603-1,8/28/2014,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,Consumer,Low,TechSavi Internet Navigator Keyboard,Technology,6.51,30.98,24.47,37,1146.26,3,34.39,1111.87,6.5,1118.37
377,5604-1,9/2/2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,Home Office,Low,TechSavi Access Keyboard,Technology,10.07,15.98,5.91,29,463.42,4,18.54,444.88,4.0,448.88
